データシート,画像,DK品番,メーカー品番,メーカー,サプライヤ,商品概要,在庫,価格,@ qty,最小発注数量, パッケージ,シリーズ,製品ステータス,"タイプ","出力数","電圧 - 入力（最小）","電圧 - 入力（最大）","電圧 - 出力1","電圧 - 出力2","電圧 - 出力3","電圧 - 出力4","電流 - 出力（最大）","電力（ワット）","電圧 - 絶縁","用途","特長","動作温度","効率","取り付けタイプ","パッケージ/ケース","サイズ/寸法","サプライヤデバイスパッケージ","制御機能","承認機関","規格番号","URL"
"https://aimtec.com/site/Aimtec/files/Datasheet/HighResolution/AM3G-LPZ.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/7180/MFG_6286_AM3G-2415DLPZ.jpg","6286-AM3G-0512DLPZ-ND","AM3G-0512DLPZ","aimtec","DComponents","3W DC/DC Converter","345","5.85","0","1","チューブ","AM3G-LPZ (3W)","アクティブ","絶縁モジュール","2","4.5V","9V","-12V","12V","-","-","104mA","3 W","1.5 kV","ITE（商用）","-","-40°C～85°C","77%","スルーホール","8-SIPモジュール","長さ0.87インチ x 幅0.37インチ x 高さ0.47インチ（22.0mm x 9.5mm x 12.0mm）","8-SIP","-","CE","62368-1","https://www.digikey.jp/ja/products/detail/dcomponents/AM3G-0512DLPZ/27524276"
"https://aimtec.com/site/Aimtec/files/Datasheet/HighResolution/AM3G-LPZ.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/7180/MFG_6286_AM3G-2415DLPZ.jpg","6286-AM3G-0515DH30LPZ-ND","AM3G-0515DH30LPZ","aimtec","DComponents","3W DC/DC Converter","345","5.96","0","1","チューブ","AM3G-LPZ (3W)","アクティブ","絶縁モジュール","2","4.5V","9V","-15V","15V","-","-","83mA","3 W","3 kV","ITE（商用）","-","-40°C～85°C","77%","スルーホール","8-SIPモジュール","長さ0.87インチ x 幅0.37インチ x 高さ0.47インチ（22.0mm x 9.5mm x 12.0mm）","8-SIP","-","CE","62368-1","https://www.digikey.jp/ja/products/detail/dcomponents/AM3G-0515DH30LPZ/27523791"
"https://aimtec.com/site/Aimtec/files/Datasheet/HighResolution/AM3G-LPZ.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/7180/MFG_6286_AM3G-2415DLPZ.jpg","6286-AM3G-4815DH30LPZ-ND","AM3G-4815DH30LPZ","aimtec","DComponents","3W DC/DC Converter","345","5.96","0","1","チューブ","AM3G-LPZ (3W)","アクティブ","絶縁モジュール","2","36V","75V","-15V","15V","-","-","100mA","3 W","3 kV","ITE（商用）","-","-40°C～85°C","82%","スルーホール","8-SIPモジュール","長さ0.87インチ x 幅0.37インチ x 高さ0.47インチ（22.0mm x 9.5mm x 12.0mm）","8-SIP","-","CE","62368-1","https://www.digikey.jp/ja/products/detail/dcomponents/AM3G-4815DH30LPZ/27523947"
"https://aimtec.com/site/Aimtec/files/Datasheet/HighResolution/AM3G-LPZ.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/7180/MFG_6286_AM3G-2415DLPZ.jpg","6286-AM3G-1215DH30LPZ-ND","AM3G-1215DH30LPZ","aimtec","DComponents","3W DC/DC Converter","345","5.96","0","1","チューブ","AM3G-LPZ (3W)","アクティブ","絶縁モジュール","2","9V","18V","-15V","15V","-","-","100mA","3 W","3 kV","ITE（商用）","-","-40°C～85°C","80%","スルーホール","8-SIPモジュール","長さ0.87インチ x 幅0.37インチ x 高さ0.47インチ（22.0mm x 9.5mm x 12.0mm）","8-SIP","-","CE","62368-1","https://www.digikey.jp/ja/products/detail/dcomponents/AM3G-1215DH30LPZ/27524049"
"https://aimtec.com/site/Aimtec/files/Datasheet/HighResolution/AM3G-LPZ.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/7180/MFG_6286_AM3G-2415DLPZ.jpg","6286-AM3G-2412DH30LPZ-ND","AM3G-2412DH30LPZ","aimtec","DComponents","3W DC/DC Converter","345","5.96","0","1","チューブ","AM3G-LPZ (3W)","アクティブ","絶縁モジュール","2","18V","36V","-12V","12V","-","-","125mA","3 W","3 kV","ITE（商用）","-","-40°C～85°C","83%","スルーホール","8-SIPモジュール","長さ0.87インチ x 幅0.37インチ x 高さ0.47インチ（22.0mm x 9.5mm x 12.0mm）","8-SIP","-","CE","62368-1","https://www.digikey.jp/ja/products/detail/dcomponents/AM3G-2412DH30LPZ/27524335"
"https://aimtec.com/site/Aimtec/files/Datasheet/HighResolution/AM10GH-LPZ.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/7180/MFG_6286_AM10GH-2403SLPZ.jpg","6286-AM10GH-2415DLPZ-ND","AM10GH-2415DLPZ","aimtec","DComponents","9 36VAC 15VDC 0.333A 10W","345","8.8","0","1","チューブ","AM10GH-LPZ (10W)","アクティブ","絶縁モジュール","2","9V","36V","-15V","15V","-","-","333mA、333mA","10 W","1.5 kV","ITE（商用）","OVP、SCP","-40°C～85°C（ディレーティングあり）","86%","スルーホール","8-SIPモジュール、7本のリード線","長さ0.87インチ x 幅0.37インチ x 高さ0.47インチ（22.0mm x 9.5mm x 12.0mm）","8-SIP","-","CE","62368-1","https://www.digikey.jp/ja/products/detail/dcomponents/AM10GH-2415DLPZ/27523818"
"https://aimtec.com/site/Aimtec/files/Datasheet/HighResolution/AM10TW-LPZ.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/7180/MFG_6286_AM10TW-2412DLPZ.jpg","6286-AM10TW-2415DLPZ-ND","AM10TW-2415DLPZ","aimtec","DComponents","9-36VAC 15VDC 0.33A 10W","240","9.98","0","1","チューブ","AM10TW-LPZ (10W)","アクティブ","絶縁モジュール","2","9V","36V","-15V","15V","-","-","330mA、330mA","10 W","1.5 kV","ITE（商用）","リモートオン/オフ、OCP、OTP、SCP、UVLO","-40°C～85°C（ディレーティングあり）","87%","スルーホール","24-DIPモジュール、9本のリード線","-","24-DIP","-","CE","62368-1","https://www.digikey.jp/ja/products/detail/dcomponents/AM10TW-2415DLPZ/27523559"
"https://aimtec.com/site/Aimtec/files/Datasheet/HighResolution/AM10TW-LPZ.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/7180/MFG_6286_AM10TW-2412DLPZ.jpg","6286-AM10TW-2412DLPZ-ND","AM10TW-2412DLPZ","aimtec","DComponents","9-36VAC 12VDC 0.416A 10W","240","9.98","0","1","チューブ","AM10TW-LPZ (10W)","アクティブ","絶縁モジュール","2","9V","36V","-12V","12V","-","-","416mA、416mA","10 W","1.5 kV","ITE（商用）","リモートオン/オフ、OCP、OTP、SCP、UVLO","-40°C～85°C（ディレーティングあり）","87%","スルーホール","24-DIPモジュール、9本のリード線","-","24-DIP","-","CE","62368-1","https://www.digikey.jp/ja/products/detail/dcomponents/AM10TW-2412DLPZ/27524065"
"https://aimtec.com/site/Aimtec/files/Datasheet/HighResolution/AM10TW-LPZ.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/7180/MFG_6286_AM10TW-2412DLPZ.jpg","6286-AM10TW-4815DLPZ-ND","AM10TW-4815DLPZ","aimtec","DComponents","18-75VAC 15VDC 0.33A 10W","240","9.98","0","1","チューブ","AM10TW-LPZ (10W)","アクティブ","絶縁モジュール","2","18V","75V","-15V","15V","-","-","330mA、330mA","10 W","1.5 kV","ITE（商用）","リモートオン/オフ、OCP、OTP、SCP、UVLO","-40°C～85°C（ディレーティングあり）","87%","スルーホール","24-DIPモジュール、9本のリード線","-","24-DIP","-","CE","62368-1","https://www.digikey.jp/ja/products/detail/dcomponents/AM10TW-4815DLPZ/27524078"
"https://aimtec.com/site/Aimtec/files/Datasheet/HighResolution/AM10TW-LPZ.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/7180/MFG_6286_AM10TW-2412DLPZ.jpg","6286-AM10TW-4812DLPZ-ND","AM10TW-4812DLPZ","aimtec","DComponents","18-75VAC 12VDC 0.416A 10W","240","9.98","0","1","チューブ","AM10TW-LPZ (10W)","アクティブ","絶縁モジュール","2","18V","75V","-12V","12V","-","-","416mA、416mA","10 W","1.5 kV","ITE（商用）","リモートオン/オフ、OCP、OTP、SCP、UVLO","-40°C～85°C（ディレーティングあり）","87%","スルーホール","24-DIPモジュール、9本のリード線","-","24-DIP","-","CE","62368-1","https://www.digikey.jp/ja/products/detail/dcomponents/AM10TW-4812DLPZ/27524128"
"https://aimtec.com/site/Aimtec/files/Datasheet/HighResolution/AM15CW-LPZ.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/7180/MFG_6286_AM15CW-2412DLPZ.jpg","6286-AM15CW-2412DLPZ-ND","AM15CW-2412DLPZ","aimtec","DComponents","9~36VAC 12VDC 0.625A 15W","380","11.93","0","1","チューブ","*","アクティブ","絶縁モジュール","2","9V","36V","-12V","12V","-","-","625mA、625mA","15 W","1.5 kV","ITE（商用）","OCP、OVP、SCP","-40°C～85°C（ディレーティングあり）","90%","スルーホール","6-DIPモジュール","長さ1.00インチ x 幅1.00インチ x 高さ0.47インチ（25.4mm x 25.4mm x 12.0mm）","6-DIP","-","CE","62368-1","https://www.digikey.jp/ja/products/detail/dcomponents/AM15CW-2412DLPZ/27523765"
"https://aimtec.com/site/Aimtec/files/Datasheet/HighResolution/AM15CW-LPZ.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/7180/MFG_6286_AM15CW-2412DLPZ.jpg","6286-AM15CW-4815DLPZ-ND","AM15CW-4815DLPZ","aimtec","DComponents","18~75VAC 15VDC 0.5A 15W","380","11.93","0","1","チューブ","*","アクティブ","絶縁モジュール","2","18V","75V","-15V","15V","-","-","500mA、500mA","15 W","1.5 kV","ITE（商用）","OCP、OVP、SCP","-40°C～85°C（ディレーティングあり）","0.89","スルーホール","6-DIPモジュール","長さ1.00インチ x 幅1.00インチ x 高さ0.47インチ（25.4mm x 25.4mm x 12.0mm）","6-DIP","-","CE","62368-1","https://www.digikey.jp/ja/products/detail/dcomponents/AM15CW-4815DLPZ/27523817"
"https://aimtec.com/site/Aimtec/files/Datasheet/HighResolution/AM15CW-LPZ.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/7180/MFG_6286_AM15CW-2412DLPZ.jpg","6286-AM15CW-4812DLPZ-ND","AM15CW-4812DLPZ","aimtec","DComponents","18~75VAC 12VDC 0.625A 15W","380","11.93","0","1","チューブ","*","アクティブ","絶縁モジュール","2","18V","75V","-12V","12V","-","-","625mA、625mA","15 W","1.5 kV","ITE（商用）","OCP、OVP、SCP","-40°C～85°C（ディレーティングあり）","0.89","スルーホール","6-DIPモジュール","長さ1.00インチ x 幅1.00インチ x 高さ0.47インチ（25.4mm x 25.4mm x 12.0mm）","6-DIP","-","CE","62368-1","https://www.digikey.jp/ja/products/detail/dcomponents/AM15CW-4812DLPZ/27524124"
"https://aimtec.com/site/Aimtec/files/Datasheet/HighResolution/AM15CW-LPZ.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/7180/MFG_6286_AM15CW-2412DLPZ.jpg","6286-AM15CW-2415DLPZ-ND","AM15CW-2415DLPZ","aimtec","DComponents","9~36VAC 15VDC 0.5A 15W","380","11.93","0","1","チューブ","*","アクティブ","絶縁モジュール","2","9V","36V","-15V","15V","-","-","500mA、500mA","15 W","1.5 kV","ITE（商用）","OCP、OVP、SCP","-40°C～85°C（ディレーティングあり）","90%","スルーホール","6-DIPモジュール","長さ1.00インチ x 幅1.00インチ x 高さ0.47インチ（25.4mm x 25.4mm x 12.0mm）","6-DIP","-","CE","62368-1","https://www.digikey.jp/ja/products/detail/dcomponents/AM15CW-2415DLPZ/27524272"
"https://aimtec.com/site/Aimtec/files/Datasheet/HighResolution/AM20CW-LPZ.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/7180/MFG_6286_AM20CW-2415SLPZ.jpg","6286-AM20CW-4815DLPZ-ND","AM20CW-4815DLPZ","aimtec","DComponents","18~75VDC -15VDC -0.667A 20W","380","13.73","0","1","チューブ","AM20CW-LPZ (20W)","アクティブ","絶縁モジュール","2","18V","75V","-15V","15V","-","-","667mA、667mA","20 W","1.5 kV","ITE（商用）","リモートオン/オフ、OCP、OVP、SCP、UVLO","-40°C～75°C（ディレーティングあり）","90%","スルーホール","6-DIPモジュール","長さ1.00インチ x 幅1.00インチ x 高さ0.47インチ（25.4mm x 25.4mm x 12.0mm）","6-DIPモジュール","-","CE","62368-1","https://www.digikey.jp/ja/products/detail/dcomponents/AM20CW-4815DLPZ/27524063"
"https://aimtec.com/site/Aimtec/files/Datasheet/HighResolution/AM20CW-LPZ.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/7180/MFG_6286_AM20CW-2415SLPZ.jpg","6286-AM20CW-4812DLPZ-ND","AM20CW-4812DLPZ","aimtec","DComponents","18~75VDC -12VDC -0.833A 20W","380","13.73","0","1","チューブ","AM20CW-LPZ (20W)","アクティブ","絶縁モジュール","2","18V","75V","-12V","12V","-","-","833mA、833mA","20 W","1.5 kV","ITE（商用）","リモートオン/オフ、OCP、OVP、SCP、UVLO","-40°C～75°C（ディレーティングあり）","90%","スルーホール","6-DIPモジュール","長さ1.00インチ x 幅1.00インチ x 高さ0.47インチ（25.4mm x 25.4mm x 12.0mm）","6-DIPモジュール","-","CE","62368-1","https://www.digikey.jp/ja/products/detail/dcomponents/AM20CW-4812DLPZ/27524238"
"https://aimtec.com/site/Aimtec/files/Datasheet/HighResolution/AM30EW-LPZ.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/7180/MFG_6286_AM30EW-2405SLPZ.jpg","6286-AM30EW-4815DLPZ-ND","AM30EW-4815DLPZ","aimtec","DComponents","18~75VAC 15VDC 1A 30W","380","17.89","0","1","チューブ","*","アクティブ","絶縁モジュール","2","18V","75V","-15V","15V","-","-","625mA、625mA","30 W","1.5 kV","ITE（商用）","リモートオン/オフ、OCP、OVP、SCP","-40°C～80°C（ディレーティングあり）","0.88","スルーホール","6-DIPモジュール","長さ2.00インチ x 幅1.00インチ x 高さ0.47インチ（50.8mm x 25.4mm x 12.0mm）","6-DIPモジュール","-","CE","62368-1","https://www.digikey.jp/ja/products/detail/dcomponents/AM30EW-4815DLPZ/27523715"
"https://aimtec.com/site/Aimtec/files/Datasheet/HighResolution/AM30EW-LPZ.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/7180/MFG_6286_AM30EW-2405SLPZ.jpg","6286-AM30EW-4812DLPZ-ND","AM30EW-4812DLPZ","aimtec","DComponents","18~75VAC 12VDC 1.25A 30W","380","17.89","0","1","チューブ","*","アクティブ","絶縁モジュール","2","18V","75V","-12V","12V","-","-","1.25A、1.25A","30 W","1.5 kV","ITE（商用）","リモートオン/オフ、OCP、OVP、SCP","-40°C～80°C（ディレーティングあり）","0.88","スルーホール","6-DIPモジュール","長さ2.00インチ x 幅1.00インチ x 高さ0.47インチ（50.8mm x 25.4mm x 12.0mm）","6-DIPモジュール","-","CE","62368-1","https://www.digikey.jp/ja/products/detail/dcomponents/AM30EW-4812DLPZ/27523854"
"https://aimtec.com/site/Aimtec/files/Datasheet/HighResolution/AM30EW-LPZ.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/7180/MFG_6286_AM30EW-2405SLPZ.jpg","6286-AM30EW-2415DLPZ-ND","AM30EW-2415DLPZ","aimtec","DComponents","9~36VAC 15VDC 1A 30W","380","17.89","0","1","チューブ","*","アクティブ","絶縁モジュール","2","9V","36V","-15V","15V","-","-","1A、1A","30 W","1.5 kV","ITE（商用）","リモートオン/オフ、OCP、OVP、SCP","-40°C～80°C（ディレーティングあり）","0.89","スルーホール","6-DIPモジュール","長さ2.00インチ x 幅1.00インチ x 高さ0.47インチ（50.8mm x 25.4mm x 12.0mm）","6-DIPモジュール","-","CE","62368-1","https://www.digikey.jp/ja/products/detail/dcomponents/AM30EW-2415DLPZ/27524134"
"https://micropowerdirect.com/wp-content/uploads/2024/08/MD100B-Datasheet.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/6532/MFG_MDxxxB.jpg","5943-MD124D-12B-ND","MD124D-12B","MicroPower Direct","MicroPower Direct","DC/DC CONVERTER,1W,24V IN,12V OU","62","3.43","0","1","箱","MD100B (1W)","アクティブ","絶縁モジュール","2","-","-","-12V","12V","-","-","42mA","1 W","3 kV","産業用、ITE（商用）","比例出力","-40°C～105°C","85～88%","スルーホール","-","長さ0.77インチ x 幅0.40インチ x 高さ0.24インチ（19.6mm x 10.1mm x 6.0mm）","-","イネーブル、アクティブハイ","CE","-","https://www.digikey.jp/ja/products/detail/micropower-direct/MD124D-12B/25932756"
"https://micropowerdirect.com/wp-content/uploads/2024/08/MD100B-Datasheet.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/6532/MFG_MDxxxB.jpg","5943-MD124D-15B-ND","MD124D-15B","MicroPower Direct","MicroPower Direct","DC/DC,1W,24V IN,15V OUT,3 KV","43","3.43","0","1","チューブ","MD100B (1W)","アクティブ","絶縁モジュール","2","-","-","-15V","15V","-","-","34mA","1 W","3 kV","産業用、ITE（商用）","比例出力","-40°C～105°C","85～88%","スルーホール","-","長さ0.77インチ x 幅0.40インチ x 高さ0.24インチ（19.6mm x 10.1mm x 6.0mm）","-","イネーブル、アクティブハイ","CE","-","https://www.digikey.jp/ja/products/detail/micropower-direct/MD124D-15B/25932851"
"https://micropowerdirect.com/wp-content/uploads/2024/08/MD100BI-Datasheet.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/6532/MFG_MDxxxB.jpg","5943-MD105D-15BI-ND","MD105D-15BI","MicroPower Direct","MicroPower Direct","DC/DC,1W,5V IN,15V OUT,3 KV","57","3.62","0","1","チューブ","MD100BI (1W)","アクティブ","絶縁モジュール","2","-","-","-15V","15V","-","-","34mA","1 W","3 kV","産業用、ITE（商用）","比例出力、SCP","-40°C～105°C","0.88","スルーホール","-","長さ0.77インチ x 幅0.40インチ x 高さ0.24インチ（19.6mm x 10.1mm x 6.0mm）","-","イネーブル、アクティブハイ","CE","-","https://www.digikey.jp/ja/products/detail/micropower-direct/MD105D-15BI/25932646"
"https://micropowerdirect.com/wp-content/uploads/2024/10/MD100CHI.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/6532/MFG_MDxxxCHI.jpg","5943-MD112D-12CHI-ND","MD112D-12CHI","MicroPower Direct","MicroPower Direct","DC/DC CONVERTER,1W,12V IN,12V OU","26","6.23","0","1","箱","MD100CHI (1W)","アクティブ","絶縁モジュール","2","-","-","-12V","12V","-","-","42mA","1 W","6 kV","産業用、ITE（商用）","比例出力、SCP","-40°C～105°C","81%","スルーホール","-","長さ0.77インチ x 幅0.39インチ x 高さ0.49インチ（19.5mm x 9.9mm x 12.5mm）","-","イネーブル、アクティブハイ","CE","-","https://www.digikey.jp/ja/products/detail/micropower-direct/MD112D-12CHI/25932677"
"//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/6532/5943_MA600ERU%20Datasheet.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/6532/MFG_MA300R.jpg","5943-MA648D-12ERU-ND","MA648D-12ERU","MicroPower Direct","MicroPower Direct","DC/DC,6W,48V IN,12V OUT,1.5 KV","32","14.58","0","1","チューブ","MA600ERU (6W)","アクティブ","絶縁モジュール","2","-","-","-12V","12V","-","-","250mA","6 W","1.5 kV","産業用、ITE（商用）","比例出力、OCP","-40°C～85°C","0.88","-","-","長さ1.26インチ x 幅0.79インチ x 高さ0.43インチ（32.0mm x 20.0mm x 10.9mm）","-","イネーブル、アクティブハイ","CE、cURus、UKCA","62368-1","https://www.digikey.jp/ja/products/detail/micropower-direct/MA648D-12ERU/25932760"
"https://micropowerdirect.com/wp-content/uploads/2024/08/MA600BRU-Datasheet.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/6532/MFG_MA300R.jpg","5943-MA648D-12BRU-ND","MA648D-12BRU","MicroPower Direct","MicroPower Direct","DC/DC,6W,48V IN,12V OUT,1.5 KV","9","14.99","0","1","チューブ","MA600BRU (6W)","アクティブ","絶縁モジュール","2","-","-","-12V","12V","-","-","250mA","6 W","1.5 kV","産業用、ITE（商用）","比例出力、SCP、UVLO、OCP","-40°C～85°C","87%","-","-","長さ1.26インチ x 幅0.50インチ x 高さ0.79インチ（32.0mm x 12.6mm x 20.0mm）","-","イネーブル、アクティブハイ","CE","-","https://www.digikey.jp/ja/products/detail/micropower-direct/MA648D-12BRU/25932782"
"https://micropowerdirect.com/wp-content/uploads/2024/06/MA300R.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/6532/MFG_MA300R.jpg","5943-MA324D-12R-ND","MA324D-12R","MicroPower Direct","MicroPower Direct","DC/DC,3W,24V IN,12V OUT,1.5 KV","55","20.86","0","1","チューブ","MA300R (3W)","アクティブ","絶縁モジュール","2","-","-","-12V","12V","-","-","125mA","3 W","1.5 kV","産業用、ITE（商用）","比例出力","-40°C～85°C","81%","-","-","長さ1.25インチ x 幅0.80インチ x 高さ0.40インチ（31.8mm x 20.3mm x 10.2mm）","-","イネーブル、アクティブハイ","-","-","https://www.digikey.jp/ja/products/detail/micropower-direct/MA324D-12R/25932751"
"https://micropowerdirect.com/wp-content/uploads/2024/06/MA300R.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/6532/MFG_MA300R.jpg","5943-MA305D-15R-ND","MA305D-15R","MicroPower Direct","MicroPower Direct","DC/DC,3W,5V IN,15V OUT,1.5 KV","8","20.86","0","1","チューブ","MA300R (3W)","アクティブ","絶縁モジュール","2","-","-","-15V","15V","-","-","100mA","3 W","1.5 kV","産業用、ITE（商用）","比例出力","-40°C～85°C","78%","-","-","長さ1.25インチ x 幅0.80インチ x 高さ0.40インチ（31.8mm x 20.3mm x 10.2mm）","-","イネーブル、アクティブハイ","-","-","https://www.digikey.jp/ja/products/detail/micropower-direct/MA305D-15R/25932679"
"https://micropowerdirect.com/wp-content/uploads/2019/10/MG600RU-Datasheet.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/6532/MFG_MG600RU.jpg","5943-MG624D-15RU-ND","MG624D-15RU","MicroPower Direct","MicroPower Direct","DC/DC,6W,24V IN,15V OUT,1.5 KV","14","28.03","0","1","チューブ","MG600RU (6W)","アクティブ","絶縁モジュール","2","-","-","-15V","15V","-","-","200mA","6 W","1.5 kV","産業用、ITE（商用）","比例出力","-40°C～90°C","87%","-","-","長さ0.94インチ x 幅0.54インチ x 高さ0.31インチ（23.8mm x 13.7mm x 8.0mm）","-","イネーブル、アクティブハイ","CE、cURus、UKCA","62368-1","https://www.digikey.jp/ja/products/detail/micropower-direct/MG624D-15RU/25932621"
"https://aimtec.com/site/Aimtec/files/Datasheet/HighResolution/AM1DS-LPZ.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/6402/MFG_AM1DS-LPZ.jpg","5245-AM1DS-0512DLPZ-ND","AM1DS-0512DLPZ","aimtec","DComponents","1W DC/DC Converter","15","2.82","0","1","チューブ","AM1DS-LPZ","アクティブ","絶縁モジュール","2","4.5V","5.5V","-12V","12V","-","-","42mA、42mA","1 W","1500 V","ITE（商用）","-","-40°C～105°C","-","スルーホール","7-SIPモジュール","長さ0.77インチ x 幅0.24インチ x 高さ0.40インチ（19.6mm x 6.0mm x 10.2mm）","7-SIP","-","CE","62368-1","https://www.digikey.jp/ja/products/detail/dcomponents/AM1DS-0512DLPZ/25596450"
"https://micropowerdirect.com/wp-content/uploads/2024/08/MD100B-Datasheet.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/6532/MFG_MDxxxB.jpg","5943-MD112D-12B-ND","MD112D-12B","MicroPower Direct","MicroPower Direct","DC/DC CONVERTER,1W,12V IN,12V OU","22","3.43","0","1","箱","MD100B (1W)","アクティブ","絶縁モジュール","2","-","-","-12V","12V","-","-","42mA","1 W","3 kV","産業用、ITE（商用）","比例出力","-40°C～105°C","84～87%","スルーホール","-","長さ0.77インチ x 幅0.40インチ x 高さ0.24インチ（19.6mm x 10.1mm x 6.0mm）","-","イネーブル、アクティブハイ","CE","-","https://www.digikey.jp/ja/products/detail/micropower-direct/MD112D-12B/25932612"
"https://micropowerdirect.com/wp-content/uploads/2024/08/MD100B-Datasheet.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/6579/MFG_MD-4-pins.jpg","5943-MD105D-12B-ND","MD105D-12B","MicroPower Direct","MicroPower Direct","DC/DC CONVERTER,1W,5V IN,12V OUT","9","3.5","0","1","箱","MD100B (1W)","アクティブ","絶縁モジュール","2","-","-","-12V","12V","-","-","42mA","1 W","3 kV","産業用、ITE（商用）","比例出力","-40°C～105°C","85～88%","スルーホール","-","長さ0.77インチ x 幅0.40インチ x 高さ0.24インチ（19.6mm x 10.1mm x 6.0mm）","-","イネーブル、アクティブハイ","CE","-","https://www.digikey.jp/ja/products/detail/micropower-direct/MD105D-12B/25932822"
"https://micropowerdirect.com/wp-content/uploads/2024/08/MD100BI-Datasheet.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/6532/MFG_MDxxxB.jpg","5943-MD115D-15BI-ND","MD115D-15BI","MicroPower Direct","MicroPower Direct","DC/DC,1W,15V IN,15V OUT,3 KV","12","3.62","0","1","チューブ","MD100BI (1W)","アクティブ","絶縁モジュール","2","-","-","-15V","15V","-","-","34mA","1 W","3 kV","産業用、ITE（商用）","比例出力、SCP","-40°C～105°C","0.88","スルーホール","-","長さ0.77インチ x 幅0.40インチ x 高さ0.24インチ（19.6mm x 10.1mm x 6.0mm）","-","イネーブル、アクティブハイ","CE","-","https://www.digikey.jp/ja/products/detail/micropower-direct/MD115D-15BI/25932772"
"https://aimtec.com/site/Aimtec/files/Datasheet/HighResolution/AM1DS-LPZ.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/6402/MFG_AM1DS-LPZ.jpg","5245-AM1DS-0512DH30LPZ-ND","AM1DS-0512DH30LPZ","aimtec","DComponents","1W DC/DC Converter","0","3.69","0","1","チューブ","AM1DS-LPZ","アクティブ","絶縁モジュール","2","4.5V","5.5V","-12V","12V","-","-","42mA、42mA","1 W","3000 V","ITE（商用）","-","-40°C～105°C","0.88","スルーホール","7-SIPモジュール","長さ0.77インチ x 幅0.24インチ x 高さ0.40インチ（19.6mm x 6.0mm x 10.2mm）","7-SIP","-","CE","62368-1","https://www.digikey.jp/ja/products/detail/dcomponents/AM1DS-0512DH30LPZ/25596442"
"https://micropowerdirect.com/wp-content/uploads/2019/07/MD100-Datasheet.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/6532/MFG_MDxxx.jpg","5943-MD105D-12-ND","MD105D-12","MicroPower Direct","MicroPower Direct","DC/DC,1W,5V IN,12V OUT,1 KV","20","4.22","0","1","チューブ","MD100 (1W)","アクティブ","絶縁モジュール","2","-","-","-12V","12V","-","-","42mA","1 W","1 kV","産業用、ITE（商用）","比例出力","-40°C～85°C","80%","スルーホール","-","長さ0.76インチ x 幅0.24インチ x 高さ0.39インチ（19.3mm x 6.0mm x 10.0mm）","-","イネーブル、アクティブハイ","CE、cURus、UKCA","62368","https://www.digikey.jp/ja/products/detail/micropower-direct/MD105D-12/25932765"
