
## hotplug
design | n | 新しい娘の Vmax [V] (角) | VDD−VSS=2×Vmax [V] | 親 P の最小 [V] | 既存の娘1 の最小 [V] | hop 電流 max [A] | 300µs 後の新しい娘 [V]
(1) Cd 40µ Rd 0.15 | 3 | 7.7 (L300n lo srcB) | 0.0 | 7.0 | 7.2 | 2.7
(1) Cd 40µ Rd 0.15 | 4 | 7.2 (L300n lo srcB) | 0.0 | 6.3 | 6.6 | 2.9
(1) Cd 40µ Rd 0.2 | 1 | 9.6 (L300n lo srcB) | 2.1 | 9.4 | nan | 2.3
(1) Cd 40µ Rd 0.2 | 2 | 8.3 (L300n lo srcB) | 0.7 | 7.9 | 8.1 | 2.5
(1) Cd 40µ Rd 0.2 | 3 | 7.6 (L300n lo srcB) | 0.0 | 6.9 | 7.2 | 2.7
(1) Cd 40µ Rd 0.2 | 4 | 7.2 (L300n lo srcB) | 0.0 | 6.2 | 6.5 | 2.9
(2) +100µ ESR 0.02 | 1 | 8.1 (L300n lo srcB) | 3.9 | 7.8 | nan | 2.3
(2) +100µ ESR 0.02 | 2 | 8.4 (L300n lo srcB) | 4.6 | 7.7 | 8.1 | 2.5
(2) +100µ ESR 0.02 | 3 | 8.8 (L300n lo srcB) | 4.3 | 7.7 | 8.1 | 2.7
(2) +100µ ESR 0.02 | 4 | 9.1 (L300n lo srcB) | 3.7 | 7.6 | 8.1 | 3.0
(2) +100µ ESR 0.1 | 1 | 7.6 (L300n lo srcB) | 2.8 | 7.4 | nan | 2.3
(2) +100µ ESR 0.1 | 2 | 7.8 (L300n lo srcB) | 3.3 | 7.4 | 7.6 | 2.5
(2) +100µ ESR 0.1 | 3 | 8.1 (L300n lo srcB) | 2.9 | 7.3 | 7.6 | 2.7
(2) +100µ ESR 0.1 | 4 | 8.3 (L300n lo srcB) | 2.4 | 7.3 | 7.6 | 2.9
(2) +100µ ESR 0.3 | 1 | 7.4 (L300n lo srcB) | 2.1 | 7.1 | nan | 2.3
(2) +100µ ESR 0.3 | 2 | 7.6 (L300n lo srcB) | 2.4 | 7.1 | 7.4 | 2.5
(2) +100µ ESR 0.3 | 3 | 8.1 (L300n lo srcB) | 2.0 | 7.1 | 7.4 | 2.7
(2) +100µ ESR 0.3 | 4 | 8.8 (L300n lo srcB) | 1.5 | 7.0 | 7.4 | 2.9
(2) C201 のみ | 1 | 12.6 (L300n lo srcB) | 4.9 | 12.4 | nan | 2.3
(2) C201 のみ | 2 | 12.7 (L300n lo srcB) | 4.5 | 12.1 | 12.4 | 2.5
(2) C201 のみ | 3 | 13.0 (L300n lo srcB) | 4.1 | 12.0 | 12.3 | 2.8
(2) C201 のみ | 4 | 13.0 (L300n lo srcB) | 3.8 | 11.8 | 12.2 | 2.9
(3) +100µ ESR 0.02 Rser 0.05 | 1 | 9.0 (L100n lo srcB) | 1.3 | 7.8 | nan | 3.4
(3) +100µ ESR 0.02 Rser 0.05 | 2 | 9.2 (L300n lo srcB) | 2.0 | 7.7 | 7.9 | 3.6
(3) +100µ ESR 0.02 Rser 0.05 | 3 | 9.4 (L300n lo srcB) | 1.8 | 7.7 | 7.9 | 3.8
(3) +100µ ESR 0.02 Rser 0.05 | 4 | 9.7 (L300n lo srcB) | 1.3 | 7.6 | 7.9 | 4.0
(3) +100µ ESR 0.02 Rser 0.1 | 1 | 10.1 (L100n lo srcB) | 0.0 | 7.8 | nan | 4.4
(3) +100µ ESR 0.02 Rser 0.1 | 2 | 10.2 (L300n lo srcB) | 0.0 | 7.7 | 7.9 | 4.6
(3) +100µ ESR 0.02 Rser 0.1 | 3 | 10.4 (L300n lo srcB) | 0.0 | 7.7 | 7.9 | 4.8
(3) +100µ ESR 0.02 Rser 0.1 | 4 | 10.6 (L300n lo srcB) | 0.0 | 7.6 | 7.8 | 5.1
(3) +100µ ESR 0.02 Rser 0.15 | 1 | 11.1 (L100n lo srcB) | 0.0 | 7.8 | nan | 5.4
(3) +100µ ESR 0.02 Rser 0.15 | 2 | 11.3 (L100n lo srcB) | 0.0 | 7.7 | 7.9 | 5.7
(3) +100µ ESR 0.02 Rser 0.15 | 3 | 11.4 (L300n lo srcB) | 0.0 | 7.7 | 7.9 | 5.9
(3) +100µ ESR 0.02 Rser 0.15 | 4 | 11.6 (L300n lo srcB) | 0.0 | 7.6 | 7.8 | 6.1
(3) +100µ ESR 0.02 Rser 0.2 | 1 | 12.2 (L100n lo srcB) | 0.0 | 7.8 | nan | 6.5
(3) +100µ ESR 0.02 Rser 0.2 | 2 | 12.3 (L300n lo srcB) | 0.0 | 7.7 | 7.9 | 6.7
(3) +100µ ESR 0.02 Rser 0.2 | 3 | 12.5 (L300n lo srcB) | 0.0 | 7.7 | 7.9 | 6.9
(3) +100µ ESR 0.02 Rser 0.2 | 4 | 12.7 (L300n lo srcB) | 0.0 | 7.6 | 7.8 | 7.1
(3) +100µ ESR 0.02 Rser 0.33 | 1 | 14.9 (L100n lo srcB) | 0.0 | 7.8 | nan | 9.2
(3) +100µ ESR 0.02 Rser 0.33 | 2 | 15.1 (L300n lo srcB) | 0.0 | 7.7 | 7.9 | 9.5
(3) +100µ ESR 0.02 Rser 0.33 | 3 | 15.2 (L300n lo srcB) | 0.0 | 7.7 | 7.9 | 9.7
(3) +100µ ESR 0.02 Rser 0.33 | 4 | 15.4 (L300n lo srcB) | 0.0 | 7.6 | 7.8 | 9.9
(3) +100µ ESR 0.02 Rser 0.5 | 1 | 18.5 (L300n lo srcB) | 0.0 | 7.8 | nan | 12.8
(3) +100µ ESR 0.02 Rser 0.5 | 2 | 18.6 (L300n lo srcB) | 0.0 | 7.7 | 7.9 | 13.0
(3) +100µ ESR 0.02 Rser 0.5 | 3 | 18.8 (L300n lo srcB) | 0.0 | 7.7 | 7.9 | 13.2
(3) +100µ ESR 0.02 Rser 0.5 | 4 | 18.9 (L300n lo srcB) | 0.0 | 7.6 | 7.8 | 13.5

## ilim
design | n | 娘 N の低下 max [mV] (角) | 娘 N の上振れ [mV] | 親 P の低下 [mV] | 娘1 の低下 [mV] | 2ms 後の娘 N の降下 [mV]
(1) Cd 40µ Rd 0.1 | 1 | 234.1 (L300n lo srcB) | 179.9 | 228.0 | nan | 2.3
(1) Cd 40µ Rd 0.1 | 2 | 203.4 (L300n lo srcB) | 176.9 | 191.7 | 197.8 | 2.5
(1) Cd 40µ Rd 0.1 | 3 | 185.9 (L300n lo srcB) | 167.9 | 168.7 | 174.7 | 2.7
(1) Cd 40µ Rd 0.1 | 4 | 174.8 (L300n lo srcB) | 148.9 | 152.2 | 158.2 | 3.2
(1) Cd 40µ Rd 0.15 | 1 | 231.7 (L300n lo srcB) | 177.4 | 225.7 | nan | 2.3
(1) Cd 40µ Rd 0.15 | 2 | 200.9 (L300n lo srcB) | 172.3 | 189.3 | 195.3 | 2.5
(1) Cd 40µ Rd 0.15 | 3 | 183.6 (L300n lo srcB) | 162.8 | 166.5 | 172.5 | 2.7
(1) Cd 40µ Rd 0.15 | 4 | 172.7 (L300n lo srcB) | 144.2 | 150.3 | 156.2 | 3.2
(1) Cd 40µ Rd 0.2 | 1 | 229.7 (L300n lo srcB) | 175.1 | 223.8 | nan | 2.3
(1) Cd 40µ Rd 0.2 | 2 | 198.7 (L300n lo srcB) | 168.0 | 187.2 | 193.2 | 2.5
(1) Cd 40µ Rd 0.2 | 3 | 181.4 (L300n lo srcB) | 158.0 | 164.6 | 170.5 | 2.7
(1) Cd 40µ Rd 0.2 | 4 | 170.7 (L300n lo srcB) | 139.7 | 148.6 | 154.4 | 3.1
(2) +100µ ESR 0.02 | 1 | 192.2 (L300n lo srcB) | 185.4 | 185.5 | nan | 3.1
(2) +100µ ESR 0.02 | 2 | 200.3 (L300n lo srcB) | 194.0 | 184.1 | 193.3 | 3.8
(2) +100µ ESR 0.02 | 3 | 210.2 (L300n lo srcB) | 203.1 | 182.9 | 193.5 | 4.3
(2) +100µ ESR 0.02 | 4 | 215.7 (L300n lo srcB) | 210.9 | 182.1 | 193.0 | 4.7
(2) +100µ ESR 0.1 | 1 | 181.5 (L300n lo srcB) | 162.3 | 176.3 | nan | 2.5
(2) +100µ ESR 0.1 | 2 | 186.8 (L300n lo srcB) | 165.5 | 175.3 | 181.2 | 2.9
(2) +100µ ESR 0.1 | 3 | 192.2 (L300n lo srcB) | 169.9 | 174.4 | 180.4 | 3.4
(2) +100µ ESR 0.1 | 4 | 198.7 (L300n lo srcB) | 175.2 | 173.6 | 181.0 | 3.4
(2) +100µ ESR 0.3 | 1 | 175.4 (L300n lo srcB) | 139.3 | 169.8 | nan | 2.3
(2) +100µ ESR 0.3 | 2 | 181.8 (L300n lo srcB) | 151.0 | 169.1 | 175.6 | 2.5
(2) +100µ ESR 0.3 | 3 | 192.9 (L300n lo srcB) | 161.8 | 168.7 | 175.8 | 3.0
(2) +100µ ESR 0.3 | 4 | 208.6 (L300n lo srcB) | 172.2 | 168.1 | 175.7 | 2.9
(2) C201 のみ | 1 | 301.5 (L300n lo srcB) | 162.6 | 295.1 | nan | 2.3
(2) C201 のみ | 2 | 303.6 (L300n lo srcB) | 185.4 | 289.2 | 296.7 | 2.9
(2) C201 のみ | 3 | 310.8 (L300n lo srcB) | 181.5 | 285.0 | 292.4 | 3.9
(2) C201 のみ | 4 | 309.4 (L300n lo srcB) | 163.9 | 280.5 | 289.7 | 3.1
(3) +100µ ESR 0.02 Rser 0.05 | 1 | 215.5 (L300n lo srcB) | 180.0 | 185.5 | nan | 4.2
(3) +100µ ESR 0.02 Rser 0.05 | 2 | 219.3 (L300n lo srcB) | 180.3 | 184.0 | 189.1 | 4.9
(3) +100µ ESR 0.02 Rser 0.05 | 3 | 225.0 (L300n lo srcB) | 184.6 | 182.6 | 188.6 | 5.4
(3) +100µ ESR 0.02 Rser 0.05 | 4 | 231.8 (L300n lo srcB) | 190.0 | 181.5 | 187.0 | 5.7
(3) +100µ ESR 0.02 Rser 0.1 | 1 | 240.5 (L300n lo srcB) | 178.9 | 185.4 | nan | 5.3
(3) +100µ ESR 0.02 Rser 0.1 | 2 | 244.1 (L300n lo srcB) | 178.6 | 184.0 | 189.1 | 5.9
(3) +100µ ESR 0.02 Rser 0.1 | 3 | 248.3 (L300n lo srcB) | 178.9 | 182.6 | 187.9 | 6.4
(3) +100µ ESR 0.02 Rser 0.1 | 4 | 252.7 (L300n lo srcB) | 182.4 | 181.4 | 186.2 | 6.8
(3) +100µ ESR 0.02 Rser 0.15 | 1 | 265.5 (L300n lo srcB) | 177.9 | 185.4 | nan | 6.3
(3) +100µ ESR 0.02 Rser 0.15 | 2 | 269.1 (L300n lo srcB) | 177.5 | 184.0 | 189.0 | 7.0
(3) +100µ ESR 0.02 Rser 0.15 | 3 | 272.9 (L300n lo srcB) | 177.0 | 182.6 | 187.7 | 7.5
(3) +100µ ESR 0.02 Rser 0.15 | 4 | 276.5 (L300n lo srcB) | 178.3 | 181.3 | 186.2 | 7.8
(3) +100µ ESR 0.02 Rser 0.2 | 1 | 290.5 (L300n lo srcB) | 176.8 | 185.4 | nan | 7.4
(3) +100µ ESR 0.02 Rser 0.2 | 2 | 294.1 (L300n lo srcB) | 176.5 | 184.0 | 189.0 | 8.0
(3) +100µ ESR 0.02 Rser 0.2 | 3 | 297.8 (L300n lo srcB) | 176.0 | 182.6 | 187.7 | 8.5
(3) +100µ ESR 0.02 Rser 0.2 | 4 | 301.4 (L300n lo srcB) | 175.9 | 181.2 | 186.3 | 8.9
(3) +100µ ESR 0.02 Rser 0.33 | 1 | 355.4 (L300n lo srcB) | 174.0 | 185.4 | nan | 10.1
(3) +100µ ESR 0.02 Rser 0.33 | 2 | 359.0 (L300n lo srcB) | 173.6 | 183.9 | 189.0 | 10.7
(3) +100µ ESR 0.02 Rser 0.33 | 3 | 362.7 (L300n lo srcB) | 173.2 | 182.5 | 187.6 | 11.2
(3) +100µ ESR 0.02 Rser 0.33 | 4 | 366.4 (L300n lo srcB) | 172.7 | 181.1 | 186.2 | 11.6
(3) +100µ ESR 0.02 Rser 0.5 | 1 | 440.3 (L300n lo srcB) | 170.3 | 185.3 | nan | 13.7
(3) +100µ ESR 0.02 Rser 0.5 | 2 | 443.9 (L300n lo srcB) | 169.9 | 183.8 | 188.9 | 14.3
(3) +100µ ESR 0.02 Rser 0.5 | 3 | 447.6 (L300n lo srcB) | 169.5 | 182.4 | 187.5 | 14.8
(3) +100µ ESR 0.02 Rser 0.5 | 4 | 451.3 (L300n lo srcB) | 169.0 | 181.0 | 186.1 | 15.2
