# topo=star: 設計の選択ごと・娘 n 枚。値は不確かな角の最悪
plan | design | n | Zpk(20k-3M) Ω @f | worst corner | Zpk(100-20k) Ω @f | Z@200k Ω | Zmax(200k-1M) @f | Tpk(1k-3M) @f | T@200k | Tmax(200k-1M) @f
2 | +100µ ESR 0.1 | 2 | 3.911 @168k | L300n R0.01 lo srcA e201=0.05 k=1 | 0.142 @7k | 1.923 | 1.917 @211k | 20.85 @168k | 12.620 | 11.672 @211k
2 | +100µ ESR 0.1 | 3 | 4.690 @168k | L300n R0.01 lo srcA e201=0.05 k=1 | 0.141 @7k | 2.259 | 2.242 @211k | 20.85 @168k | 12.620 | 11.672 @211k
2 | +100µ ESR 0.1 | 4 | 5.120 @168k | L300n R0.01 lo srcA e201=0.05 k=1 | 0.140 @7k | 2.454 | 2.433 @211k | 20.85 @168k | 12.620 | 11.672 @211k
2 | +100µ ESR 0.3 | 1 | 1.794 @168k | L300n R0.01 lo srcA e201=0.05 k=1 | 0.165 @13k | 1.082 | 1.255 @211k | 20.85 @168k | 12.620 | 11.672 @211k
2 | +100µ ESR 0.3 | 2 | 3.795 @168k | L300n R0.01 lo srcA e201=0.05 k=1 | 0.163 @13k | 1.859 | 1.841 @211k | 20.85 @168k | 12.620 | 11.672 @211k
2 | +100µ ESR 0.3 | 3 | 4.632 @168k | L300n R0.01 lo srcA e201=0.05 k=1 | 0.161 @13k | 2.228 | 2.207 @211k | 20.85 @168k | 12.620 | 11.672 @211k
2 | +100µ ESR 0.3 | 4 | 5.086 @168k | L300n R0.01 lo srcA e201=0.05 k=1 | 0.160 @13k | 2.436 | 2.413 @211k | 20.85 @168k | 12.620 | 11.672 @211k
2 | +220µ ESR 0.02 | 1 | 3.295 @168k | L300n R0.01 lo srcA e201=0.05 k=1 | 0.118 @4k | 2.013 | 1.877 @211k | 20.85 @168k | 12.620 | 11.672 @211k
2 | +220µ ESR 0.02 | 2 | 4.402 @168k | L300n R0.01 lo srcA e201=0.05 k=1 | 0.118 @4k | 2.193 | 2.200 @211k | 20.85 @168k | 12.620 | 11.672 @211k
2 | +220µ ESR 0.02 | 3 | 4.954 @168k | L300n R0.01 lo srcA e201=0.05 k=1 | 0.118 @4k | 2.386 | 2.403 @211k | 20.85 @168k | 12.620 | 11.672 @211k
2 | +220µ ESR 0.02 | 4 | 5.284 @168k | L300n R0.01 lo srcA e201=0.05 k=1 | 0.118 @4k | 2.526 | 2.534 @211k | 20.85 @168k | 12.620 | 11.672 @211k
2 | +220µ ESR 0.1 | 1 | 2.099 @168k | L300n R0.01 lo srcA e201=0.05 k=1 | 0.110 @0k | 1.270 | 1.421 @211k | 20.85 @168k | 12.620 | 11.672 @211k
2 | +220µ ESR 0.1 | 2 | 3.909 @168k | L300n R0.01 lo srcA e201=0.05 k=1 | 0.110 @0k | 1.921 | 1.918 @211k | 20.85 @168k | 12.620 | 11.672 @211k
2 | +220µ ESR 0.1 | 3 | 4.690 @168k | L300n R0.01 lo srcA e201=0.05 k=1 | 0.110 @0k | 2.257 | 2.243 @211k | 20.85 @168k | 12.620 | 11.672 @211k
