# topo=chain: 設計の選択ごと・娘 n 枚。値は不確かな角の最悪
plan | design | n | Zpk(20k-3M) Ω @f | worst corner | Zpk(100-20k) Ω @f | Z@200k Ω | Zmax(200k-1M) @f | Tpk(1k-3M) @f | T@200k | Tmax(200k-1M) @f
3 | +100µ ESR 0.3 / Rser 0.5 | 1 | 0.680 @21k | L300n R0.05 lo srcA e201=0.3 k=1 | 1.298 @0k | 0.310 | 0.295 @211k | 1.00 @1k | 0.514 | 0.486 @211k
3 | +100µ ESR 0.3 / Rser 0.5 | 2 | 0.736 @21k | L300n R0.05 lo srcA e201=0.3 k=2 | 1.348 @0k | 0.310 | 0.291 @211k | 1.18 @75k | 0.510 | 0.478 @211k
3 | +100µ ESR 0.3 / Rser 0.5 | 3 | 0.791 @21k | L300n R0.05 lo srcA e201=0.3 k=3 | 1.397 @0k | 0.293 | 0.276 @211k | 1.53 @63k | 0.427 | 0.387 @211k
3 | +100µ ESR 0.3 / Rser 0.5 | 4 | 0.859 @60k | L300n R0.01 lo srcC e201=0.05 k=4 | 1.447 @0k | 0.287 | 0.272 @211k | 1.86 @53k | 0.334 | 0.314 @211k
3 | +220µ ESR 0.02 / Rser 0.05 | 1 | 1.280 @168k | L300n R0.01 lo srcA e201=0.05 k=1 | 0.845 @0k | 0.855 | 0.840 @211k | 4.85 @168k | 3.974 | 3.751 @211k
3 | +220µ ESR 0.02 / Rser 0.05 | 2 | 1.754 @106k | L300n R0.01 lo srcC e201=0.05 k=2 | 0.894 @0k | 0.518 | 0.487 @282k | 6.99 @106k | 3.079 | 2.434 @211k
3 | +220µ ESR 0.02 / Rser 0.05 | 3 | 1.927 @75k | L300n R0.01 lo srcC e201=0.05 k=3 | 0.944 @0k | 0.577 | 0.599 @211k | 8.16 @75k | 1.504 | 1.496 @211k
3 | +220µ ESR 0.02 / Rser 0.05 | 4 | 1.920 @60k | L300n R0.01 lo srcC e201=0.05 k=4 | 0.993 @0k | 0.397 | 0.408 @266k | 7.75 @60k | 1.521 | 1.365 @211k
3 | +220µ ESR 0.02 / Rser 0.1 | 1 | 0.826 @168k | L300n R0.01 lo srcA e201=0.05 k=1 | 0.894 @0k | 0.608 | 0.561 @211k | 2.78 @158k | 2.283 | 2.159 @211k
3 | +220µ ESR 0.02 / Rser 0.1 | 2 | 1.258 @106k | L300n R0.01 lo srcC e201=0.05 k=2 | 0.944 @0k | 0.427 | 0.388 @211k | 4.47 @100k | 2.127 | 1.831 @211k
3 | +220µ ESR 0.02 / Rser 0.1 | 3 | 1.489 @75k | L300n R0.01 lo srcC e201=0.05 k=3 | 0.994 @0k | 0.404 | 0.410 @211k | 5.52 @75k | 0.994 | 0.894 @211k
3 | +220µ ESR 0.02 / Rser 0.1 | 4 | 1.575 @60k | L300n R0.01 lo srcC e201=0.05 k=4 | 1.043 @0k | 0.345 | 0.316 @211k | 5.77 @56k | 0.980 | 0.922 @211k
3 | +220µ ESR 0.02 / Rser 0.15 | 1 | 0.634 @168k | L300n R0.01 lo srcA e201=0.05 k=1 | 0.944 @0k | 0.517 | 0.466 @211k | 1.98 @158k | 1.598 | 1.511 @211k
3 | +220µ ESR 0.02 / Rser 0.15 | 2 | 1.010 @106k | L300n R0.01 lo srcC e201=0.05 k=2 | 0.994 @0k | 0.377 | 0.352 @211k | 3.27 @100k | 1.571 | 1.405 @211k
3 | +220µ ESR 0.02 / Rser 0.15 | 3 | 1.244 @75k | L300n R0.01 lo srcC e201=0.05 k=3 | 1.043 @0k | 0.343 | 0.344 @211k | 4.15 @75k | 0.873 | 0.766 @211k
3 | +220µ ESR 0.02 / Rser 0.15 | 4 | 1.363 @60k | L300n R0.01 lo srcC e201=0.05 k=4 | 1.093 @0k | 0.332 | 0.315 @211k | 4.63 @56k | 0.749 | 0.716 @211k
3 | +220µ ESR 0.02 / Rser 0.2 | 1 | 0.537 @158k | L300n R0.01 lo srcA e201=0.05 k=1 | 0.994 @0k | 0.453 | 0.418 @211k | 1.56 @150k | 1.228 | 1.162 @211k
3 | +220µ ESR 0.02 / Rser 0.2 | 2 | 0.868 @100k | L300n R0.01 lo srcA e201=0.05 k=2 | 1.044 @0k | 0.346 | 0.328 @211k | 2.56 @100k | 1.227 | 1.118 @211k
3 | +220µ ESR 0.02 / Rser 0.2 | 3 | 1.092 @75k | L300n R0.01 lo srcC e201=0.05 k=3 | 1.093 @0k | 0.315 | 0.312 @211k | 3.31 @75k | 0.767 | 0.673 @211k
3 | +220µ ESR 0.02 / Rser 0.2 | 4 | 1.224 @60k | L300n R0.01 lo srcC e201=0.05 k=4 | 1.143 @0k | 0.320 | 0.308 @211k | 3.85 @56k | 0.612 | 0.587 @211k
3 | +220µ ESR 0.02 / Rser 0.33 | 1 | 0.445 @133k | L300n R0.01 lo srcA e201=0.3 k=1 | 1.124 @0k | 0.363 | 0.343 @211k | 1.09 @106k | 0.767 | 0.725 @211k
3 | +220µ ESR 0.02 / Rser 0.33 | 2 | 0.697 @100k | L300n R0.01 lo srcA e201=0.05 k=2 | 1.173 @0k | 0.325 | 0.303 @211k | 1.64 @94k | 0.766 | 0.712 @211k
3 | +220µ ESR 0.02 / Rser 0.33 | 3 | 0.894 @75k | L300n R0.01 lo srcC e201=0.05 k=3 | 1.223 @0k | 0.294 | 0.278 @211k | 2.19 @71k | 0.573 | 0.509 @211k
3 | +220µ ESR 0.02 / Rser 0.33 | 4 | 1.033 @60k | L300n R0.01 lo srcC e201=0.05 k=4 | 1.273 @0k | 0.298 | 0.285 @211k | 2.64 @56k | 0.418 | 0.400 @211k
3 | +220µ ESR 0.02 / Rser 0.5 | 1 | 0.561 @21k | L300n R0.05 lo srcA e201=0.3 k=1 | 1.293 @0k | 0.316 | 0.300 @211k | 1.00 @1k | 0.514 | 0.486 @211k
3 | +220µ ESR 0.02 / Rser 0.5 | 2 | 0.640 @63k | L300n R0.05 lo srcA e201=0.3 k=2 | 1.343 @0k | 0.310 | 0.291 @211k | 1.18 @75k | 0.510 | 0.478 @211k
3 | +220µ ESR 0.02 / Rser 0.5 | 3 | 0.807 @71k | L300n R0.01 lo srcC e201=0.05 k=3 | 1.392 @0k | 0.289 | 0.274 @211k | 1.53 @63k | 0.427 | 0.387 @211k
3 | +220µ ESR 0.02 / Rser 0.5 | 4 | 0.947 @56k | L300n R0.01 lo srcC e201=0.05 k=4 | 1.442 @0k | 0.286 | 0.272 @211k | 1.86 @53k | 0.334 | 0.314 @211k
3 | +220µ ESR 0.1 / Rser 0.05 | 1 | 1.052 @168k | L300n R0.01 lo srcC e201=0.05 k=1 | 0.844 @0k | 0.717 | 0.713 @211k | 4.85 @168k | 3.974 | 3.751 @211k
3 | +220µ ESR 0.1 / Rser 0.05 | 2 | 1.365 @106k | L300n R0.01 lo srcC e201=0.05 k=2 | 0.893 @0k | 0.463 | 0.478 @282k | 6.99 @106k | 3.079 | 2.434 @211k
3 | +220µ ESR 0.1 / Rser 0.05 | 3 | 1.397 @79k | L300n R0.01 lo srcC e201=0.05 k=3 | 0.943 @0k | 0.541 | 0.567 @211k | 8.16 @75k | 1.504 | 1.496 @211k
3 | +220µ ESR 0.1 / Rser 0.05 | 4 | 1.366 @60k | L300n R0.01 lo srcC e201=0.05 k=4 | 0.993 @0k | 0.363 | 0.401 @266k | 7.75 @60k | 1.521 | 1.365 @211k
3 | +220µ ESR 0.1 / Rser 0.1 | 1 | 0.730 @168k | L300n R0.01 lo srcC e201=0.05 k=1 | 0.894 @0k | 0.586 | 0.516 @211k | 2.78 @158k | 2.283 | 2.159 @211k
3 | +220µ ESR 0.1 / Rser 0.1 | 2 | 1.055 @106k | L300n R0.01 lo srcC e201=0.05 k=2 | 0.943 @0k | 0.390 | 0.367 @211k | 4.47 @100k | 2.127 | 1.831 @211k
3 | +220µ ESR 0.1 / Rser 0.1 | 3 | 1.170 @79k | L300n R0.01 lo srcC e201=0.05 k=3 | 0.993 @0k | 0.390 | 0.397 @211k | 5.52 @75k | 0.994 | 0.894 @211k
3 | +220µ ESR 0.1 / Rser 0.1 | 4 | 1.207 @60k | L300n R0.01 lo srcC e201=0.05 k=4 | 1.042 @0k | 0.345 | 0.319 @211k | 5.77 @56k | 0.980 | 0.922 @211k
3 | +220µ ESR 0.1 / Rser 0.15 | 1 | 0.581 @168k | L300n R0.01 lo srcC e201=0.05 k=1 | 0.943 @0k | 0.497 | 0.453 @211k | 1.98 @158k | 1.598 | 1.511 @211k
3 | +220µ ESR 0.1 / Rser 0.15 | 2 | 0.886 @106k | L300n R0.01 lo srcC e201=0.05 k=2 | 0.993 @0k | 0.352 | 0.335 @211k | 3.27 @100k | 1.571 | 1.405 @211k
3 | +220µ ESR 0.1 / Rser 0.15 | 3 | 1.031 @75k | L300n R0.01 lo srcC e201=0.05 k=3 | 1.043 @0k | 0.336 | 0.337 @211k | 4.15 @75k | 0.873 | 0.766 @211k
3 | +220µ ESR 0.1 / Rser 0.15 | 4 | 1.101 @60k | L300n R0.01 lo srcC e201=0.05 k=4 | 1.092 @0k | 0.331 | 0.312 @211k | 4.63 @56k | 0.749 | 0.716 @211k
3 | +220µ ESR 0.1 / Rser 0.2 | 1 | 0.502 @158k | L300n R0.01 lo srcA e201=0.05 k=1 | 0.993 @0k | 0.437 | 0.407 @211k | 1.56 @150k | 1.228 | 1.162 @211k
3 | +220µ ESR 0.1 / Rser 0.2 | 2 | 0.783 @106k | L300n R0.01 lo srcC e201=0.05 k=2 | 1.043 @0k | 0.335 | 0.315 @211k | 2.56 @100k | 1.227 | 1.118 @211k
3 | +220µ ESR 0.1 / Rser 0.2 | 3 | 0.942 @75k | L300n R0.01 lo srcC e201=0.05 k=3 | 1.092 @0k | 0.310 | 0.307 @211k | 3.31 @75k | 0.767 | 0.673 @211k
3 | +220µ ESR 0.1 / Rser 0.2 | 4 | 1.029 @60k | L300n R0.01 lo srcC e201=0.05 k=4 | 1.142 @0k | 0.318 | 0.303 @211k | 3.85 @56k | 0.612 | 0.587 @211k
3 | +220µ ESR 0.1 / Rser 0.33 | 1 | 0.454 @21k | L300n R0.05 lo srcA e201=0.3 k=1 | 1.123 @0k | 0.355 | 0.336 @211k | 1.09 @106k | 0.767 | 0.725 @211k
3 | +220µ ESR 0.1 / Rser 0.33 | 2 | 0.655 @100k | L300n R0.01 lo srcC e201=0.05 k=2 | 1.172 @0k | 0.324 | 0.303 @211k | 1.64 @94k | 0.766 | 0.712 @211k
3 | +220µ ESR 0.1 / Rser 0.33 | 3 | 0.820 @75k | L300n R0.01 lo srcC e201=0.05 k=3 | 1.222 @0k | 0.293 | 0.277 @211k | 2.19 @71k | 0.573 | 0.509 @211k
3 | +220µ ESR 0.1 / Rser 0.33 | 4 | 0.927 @60k | L300n R0.01 lo srcC e201=0.05 k=4 | 1.272 @0k | 0.298 | 0.284 @211k | 2.64 @56k | 0.418 | 0.400 @211k
3 | +220µ ESR 0.1 / Rser 0.5 | 1 | 0.614 @21k | L300n R0.05 lo srcA e201=0.3 k=1 | 1.292 @0k | 0.312 | 0.296 @211k | 1.00 @1k | 0.514 | 0.486 @211k
3 | +220µ ESR 0.1 / Rser 0.5 | 2 | 0.671 @21k | L300n R0.05 lo srcA e201=0.3 k=2 | 1.342 @0k | 0.308 | 0.290 @211k | 1.18 @75k | 0.510 | 0.478 @211k
3 | +220µ ESR 0.1 / Rser 0.5 | 3 | 0.765 @71k | L300n R0.01 lo srcC e201=0.05 k=3 | 1.392 @0k | 0.290 | 0.274 @211k | 1.53 @63k | 0.427 | 0.387 @211k
3 | +220µ ESR 0.1 / Rser 0.5 | 4 | 0.881 @56k | L300n R0.01 lo srcC e201=0.05 k=4 | 1.441 @0k | 0.287 | 0.272 @211k | 1.86 @53k | 0.334 | 0.314 @211k
3 | +220µ ESR 0.3 / Rser 0.05 | 1 | 0.975 @168k | L300n R0.01 lo srcC e201=0.05 k=1 | 0.842 @0k | 0.711 | 0.667 @211k | 4.85 @168k | 3.974 | 3.751 @211k
3 | +220µ ESR 0.3 / Rser 0.05 | 2 | 1.250 @106k | L300n R0.01 lo srcC e201=0.05 k=2 | 0.891 @0k | 0.441 | 0.474 @282k | 6.99 @106k | 3.079 | 2.434 @211k
3 | +220µ ESR 0.3 / Rser 0.05 | 3 | 1.318 @79k | L300n R0.01 lo srcC e201=0.05 k=3 | 0.941 @0k | 0.526 | 0.554 @211k | 8.16 @75k | 1.504 | 1.496 @211k
3 | +220µ ESR 0.3 / Rser 0.05 | 4 | 1.289 @63k | L300n R0.01 lo srcC e201=0.05 k=4 | 0.991 @0k | 0.370 | 0.398 @266k | 7.75 @60k | 1.521 | 1.365 @211k
3 | +220µ ESR 0.3 / Rser 0.1 | 1 | 0.694 @168k | L300n R0.01 lo srcC e201=0.05 k=1 | 0.891 @0k | 0.577 | 0.512 @211k | 2.78 @158k | 2.283 | 2.159 @211k
3 | +220µ ESR 0.3 / Rser 0.1 | 2 | 0.991 @106k | L300n R0.01 lo srcC e201=0.05 k=2 | 0.941 @0k | 0.376 | 0.358 @211k | 4.47 @100k | 2.127 | 1.831 @211k
3 | +220µ ESR 0.3 / Rser 0.1 | 3 | 1.114 @79k | L300n R0.01 lo srcC e201=0.05 k=3 | 0.991 @0k | 0.384 | 0.392 @211k | 5.52 @75k | 0.994 | 0.894 @211k
3 | +220µ ESR 0.3 / Rser 0.1 | 4 | 1.145 @63k | L300n R0.01 lo srcC e201=0.05 k=4 | 1.040 @0k | 0.348 | 0.323 @211k | 5.77 @56k | 0.980 | 0.922 @211k
3 | +220µ ESR 0.3 / Rser 0.15 | 1 | 0.561 @168k | L300n R0.01 lo srcC e201=0.05 k=1 | 0.941 @0k | 0.489 | 0.448 @211k | 1.98 @158k | 1.598 | 1.511 @211k
3 | +220µ ESR 0.3 / Rser 0.15 | 2 | 0.844 @106k | L300n R0.01 lo srcC e201=0.05 k=2 | 0.991 @0k | 0.357 | 0.329 @211k | 3.27 @100k | 1.571 | 1.405 @211k
3 | +220µ ESR 0.3 / Rser 0.15 | 3 | 0.988 @79k | L300n R0.01 lo srcC e201=0.05 k=3 | 1.041 @0k | 0.332 | 0.333 @211k | 4.15 @75k | 0.873 | 0.766 @211k
3 | +220µ ESR 0.3 / Rser 0.15 | 4 | 1.049 @63k | L300n R0.01 lo srcC e201=0.05 k=4 | 1.090 @0k | 0.331 | 0.313 @211k | 4.63 @56k | 0.749 | 0.716 @211k
3 | +220µ ESR 0.3 / Rser 0.2 | 1 | 0.487 @158k | L300n R0.01 lo srcA e201=0.05 k=1 | 0.991 @0k | 0.431 | 0.402 @211k | 1.56 @150k | 1.228 | 1.162 @211k
3 | +220µ ESR 0.3 / Rser 0.2 | 2 | 0.754 @106k | L300n R0.01 lo srcC e201=0.05 k=2 | 1.041 @0k | 0.349 | 0.324 @211k | 2.56 @100k | 1.227 | 1.118 @211k
3 | +220µ ESR 0.3 / Rser 0.2 | 3 | 0.905 @79k | L300n R0.01 lo srcC e201=0.05 k=3 | 1.090 @0k | 0.308 | 0.305 @211k | 3.31 @75k | 0.767 | 0.673 @211k
3 | +220µ ESR 0.3 / Rser 0.2 | 4 | 0.984 @63k | L300n R0.01 lo srcC e201=0.05 k=4 | 1.140 @0k | 0.318 | 0.303 @211k | 3.85 @56k | 0.612 | 0.587 @211k
3 | +220µ ESR 0.3 / Rser 0.33 | 1 | 0.522 @24k | L300n R0.05 lo srcA e201=0.3 k=1 | 1.121 @0k | 0.351 | 0.333 @211k | 1.09 @106k | 0.767 | 0.725 @211k
3 | +220µ ESR 0.3 / Rser 0.33 | 2 | 0.637 @100k | L300n R0.01 lo srcC e201=0.05 k=2 | 1.170 @0k | 0.326 | 0.307 @211k | 1.64 @94k | 0.766 | 0.712 @211k
3 | +220µ ESR 0.3 / Rser 0.33 | 3 | 0.792 @75k | L300n R0.01 lo srcC e201=0.05 k=3 | 1.220 @0k | 0.293 | 0.280 @211k | 2.19 @71k | 0.573 | 0.509 @211k
3 | +220µ ESR 0.3 / Rser 0.33 | 4 | 0.893 @63k | L300n R0.01 lo srcC e201=0.05 k=4 | 1.270 @0k | 0.297 | 0.284 @211k | 2.64 @56k | 0.418 | 0.400 @211k
3 | +220µ ESR 0.3 / Rser 0.5 | 1 | 0.679 @21k | L300n R0.05 lo srcA e201=0.3 k=1 | 1.290 @0k | 0.310 | 0.295 @211k | 1.00 @1k | 0.514 | 0.486 @211k
3 | +220µ ESR 0.3 / Rser 0.5 | 2 | 0.736 @21k | L300n R0.05 lo srcA e201=0.3 k=2 | 1.340 @0k | 0.310 | 0.291 @211k | 1.18 @75k | 0.510 | 0.478 @211k
3 | +220µ ESR 0.3 / Rser 0.5 | 3 | 0.794 @21k | L300n R0.05 lo srcA e201=0.3 k=3 | 1.390 @0k | 0.293 | 0.276 @211k | 1.53 @63k | 0.427 | 0.387 @211k
3 | +220µ ESR 0.3 / Rser 0.5 | 4 | 0.858 @60k | L300n R0.01 lo srcC e201=0.05 k=4 | 1.439 @0k | 0.287 | 0.272 @211k | 1.86 @53k | 0.334 | 0.314 @211k
3 | C201 のみ / Rser 0.05 | 1 | 0.935 @178k | L300n R0.01 lo srcC e201=0.05 k=1 | 2.748 @5k | 0.757 | 0.702 @211k | 4.85 @168k | 3.974 | 3.751 @211k
3 | C201 のみ / Rser 0.05 | 2 | 1.198 @112k | L300n R0.01 lo srcC e201=0.05 k=2 | 2.666 @4k | 0.427 | 0.481 @282k | 6.99 @106k | 3.079 | 2.434 @211k
3 | C201 のみ / Rser 0.05 | 3 | 1.287 @79k | L300n R0.01 lo srcC e201=0.05 k=3 | 2.697 @4k | 0.516 | 0.545 @211k | 8.16 @75k | 1.504 | 1.496 @211k
3 | C201 のみ / Rser 0.05 | 4 | 1.286 @63k | L300n R0.01 lo srcC e201=0.05 k=4 | 2.601 @4k | 0.389 | 0.402 @266k | 7.75 @60k | 1.521 | 1.365 @211k
3 | C201 のみ / Rser 0.1 | 1 | 0.671 @168k | L300n R0.01 lo srcC e201=0.05 k=1 | 2.794 @5k | 0.571 | 0.532 @211k | 2.78 @158k | 2.283 | 2.159 @211k
3 | C201 のみ / Rser 0.1 | 2 | 0.956 @112k | L300n R0.01 lo srcC e201=0.05 k=2 | 2.711 @4k | 0.399 | 0.352 @211k | 4.47 @100k | 2.127 | 1.831 @211k
3 | C201 のみ / Rser 0.1 | 3 | 1.092 @79k | L300n R0.01 lo srcC e201=0.05 k=3 | 2.739 @4k | 0.380 | 0.388 @211k | 5.52 @75k | 0.994 | 0.894 @211k
3 | C201 のみ / Rser 0.1 | 4 | 1.140 @63k | L300n R0.01 lo srcC e201=0.05 k=4 | 2.640 @4k | 0.354 | 0.327 @211k | 5.77 @56k | 0.980 | 0.922 @211k
3 | C201 のみ / Rser 0.15 | 1 | 0.547 @168k | L300n R0.01 lo srcC e201=0.05 k=1 | 2.840 @5k | 0.483 | 0.445 @211k | 1.98 @158k | 1.598 | 1.511 @211k
3 | C201 のみ / Rser 0.15 | 2 | 0.820 @106k | L300n R0.01 lo srcC e201=0.05 k=2 | 2.756 @4k | 0.383 | 0.346 @211k | 3.27 @100k | 1.571 | 1.405 @211k
3 | C201 のみ / Rser 0.15 | 3 | 0.971 @79k | L300n R0.01 lo srcC e201=0.05 k=3 | 2.782 @4k | 0.330 | 0.331 @211k | 4.15 @75k | 0.873 | 0.766 @211k
3 | C201 のみ / Rser 0.15 | 4 | 1.044 @63k | L300n R0.01 lo srcC e201=0.05 k=4 | 2.679 @4k | 0.331 | 0.315 @211k | 4.63 @56k | 0.749 | 0.716 @211k
3 | C201 のみ / Rser 0.2 | 1 | 0.528 @27k | L300n R0.05 lo srcA e201=0.3 k=1 | 2.886 @5k | 0.426 | 0.399 @211k | 1.56 @150k | 1.228 | 1.162 @211k
3 | C201 のみ / Rser 0.2 | 2 | 0.737 @106k | L300n R0.01 lo srcC e201=0.05 k=2 | 2.801 @4k | 0.367 | 0.338 @211k | 2.56 @100k | 1.227 | 1.118 @211k
3 | C201 のみ / Rser 0.2 | 3 | 0.891 @79k | L300n R0.01 lo srcC e201=0.05 k=3 | 2.824 @4k | 0.316 | 0.304 @211k | 3.31 @75k | 0.767 | 0.673 @211k
3 | C201 のみ / Rser 0.2 | 4 | 0.978 @63k | L300n R0.01 lo srcC e201=0.05 k=4 | 2.717 @4k | 0.318 | 0.302 @211k | 3.85 @56k | 0.612 | 0.587 @211k
3 | C201 のみ / Rser 0.33 | 1 | 0.645 @25k | L300n R0.05 lo srcA e201=0.3 k=1 | 3.005 @5k | 0.349 | 0.331 @211k | 1.09 @106k | 0.767 | 0.725 @211k
3 | C201 のみ / Rser 0.33 | 2 | 0.701 @22k | L300n R0.05 lo srcA e201=0.3 k=2 | 2.917 @4k | 0.333 | 0.314 @211k | 1.64 @94k | 0.766 | 0.712 @211k
3 | C201 のみ / Rser 0.33 | 3 | 0.782 @79k | L300n R0.01 lo srcC e201=0.05 k=3 | 2.933 @4k | 0.298 | 0.285 @211k | 2.19 @71k | 0.573 | 0.509 @211k
3 | C201 のみ / Rser 0.33 | 4 | 0.887 @63k | L300n R0.01 lo srcC e201=0.05 k=4 | 2.818 @4k | 0.297 | 0.283 @211k | 2.64 @56k | 0.418 | 0.400 @211k
3 | C201 のみ / Rser 0.5 | 1 | 0.793 @22k | L300n R0.05 lo srcA e201=0.3 k=1 | 3.159 @5k | 0.309 | 0.294 @211k | 1.00 @1k | 0.514 | 0.486 @211k
3 | C201 のみ / Rser 0.5 | 2 | 0.848 @21k | L300n R0.05 lo srcA e201=0.3 k=2 | 3.069 @4k | 0.313 | 0.293 @211k | 1.18 @75k | 0.510 | 0.478 @211k
3 | C201 のみ / Rser 0.5 | 3 | 0.896 @21k | L300n R0.05 lo srcA e201=0.3 k=3 | 3.074 @4k | 0.295 | 0.277 @211k | 1.53 @63k | 0.427 | 0.387 @211k
3 | C201 のみ / Rser 0.5 | 4 | 0.929 @21k | L300n R0.05 lo srcA e201=0.3 k=4 | 2.949 @4k | 0.287 | 0.272 @211k | 1.86 @53k | 0.334 | 0.314 @211k
