# topo=chain: 設計の選択ごと・娘 n 枚。値は不確かな角の最悪
plan | design | n | Zpk(20k-3M) Ω @f | worst corner | Zpk(100-20k) Ω @f | Z@200k Ω | Zmax(200k-1M) @f | Tpk(1k-3M) @f | T@200k | Tmax(200k-1M) @f
2 | +100µ ESR 0.1 | 2 | 2.078 @106k | L300n R0.01 lo srcC e201=0.05 k=2 | 1.016 @3k | 0.625 | 1.868 @266k | 15.39 @106k | 4.539 | 4.771 @266k
2 | +100µ ESR 0.1 | 3 | 1.839 @79k | L300n R0.01 lo srcC e201=0.05 k=3 | 1.055 @3k | 1.161 | 1.826 @211k | 15.45 @75k | 3.778 | 6.719 @211k
2 | +100µ ESR 0.1 | 4 | 1.655 @60k | L300n R0.01 lo srcC e201=0.05 k=4 | 1.091 @3k | 0.749 | 1.450 @316k | 11.53 @60k | 4.428 | 4.129 @211k
2 | +100µ ESR 0.3 | 1 | 1.802 @168k | L300n R0.01 lo srcC e201=0.05 k=1 | 0.798 @0k | 1.083 | 1.262 @211k | 20.85 @168k | 12.620 | 11.672 @211k
2 | +100µ ESR 0.3 | 2 | 1.790 @106k | L300n R0.01 lo srcC e201=0.05 k=2 | 0.848 @0k | 0.586 | 1.758 @266k | 15.39 @106k | 4.539 | 4.771 @266k
2 | +100µ ESR 0.3 | 3 | 1.709 @211k | L300n R0.01 lo srcC e201=0.05 k=1 | 0.898 @0k | 1.089 | 1.709 @211k | 15.45 @75k | 3.778 | 6.719 @211k
2 | +100µ ESR 0.3 | 4 | 1.526 @63k | L300n R0.01 lo srcC e201=0.05 k=4 | 0.948 @0k | 0.681 | 1.436 @316k | 11.53 @60k | 4.428 | 4.129 @211k
2 | +220µ ESR 0.02 | 1 | 3.295 @168k | L300n R0.01 lo srcA e201=0.05 k=1 | 0.795 @0k | 2.013 | 1.877 @211k | 20.85 @168k | 12.620 | 11.672 @211k
2 | +220µ ESR 0.02 | 2 | 3.080 @106k | L300n R0.01 lo srcC e201=0.05 k=2 | 0.845 @0k | 0.689 | 2.164 @266k | 15.39 @106k | 4.539 | 4.771 @266k
2 | +220µ ESR 0.02 | 3 | 2.857 @75k | L300n R0.01 lo srcC e201=0.05 k=3 | 0.894 @0k | 1.346 | 2.111 @211k | 15.45 @75k | 3.778 | 6.719 @211k
2 | +220µ ESR 0.02 | 4 | 2.538 @60k | L300n R0.01 lo srcC e201=0.05 k=4 | 0.944 @0k | 0.957 | 1.480 @316k | 11.53 @60k | 4.428 | 4.129 @211k
2 | +220µ ESR 0.1 | 1 | 2.105 @168k | L300n R0.01 lo srcC e201=0.05 k=1 | 0.794 @0k | 1.270 | 1.426 @211k | 20.85 @168k | 12.620 | 11.672 @211k
